N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,44,E_citriodora,432,1,6.8,10.6,
2,44,E_citriodora,432,2,11.9,11.6,
2,44,E_citriodora,432,3,8,10,
2,44,E_citriodora,432,4,4.8,14,
2,44,E_citriodora,432,5,8.9,10.8,
2,44,E_citriodora,432,6,9.2,10.2,
2,44,E_citriodora,432,7,5.3,11.6,2
2,44,E_citriodora,432,8,11.2,11.6,
2,44,E_citriodora,432,9,9.8,11,2
2,44,E_citriodora,432,10,7.9,10.4,
2,44,E_citriodora,432,11,11.8,12,
2,44,E_citriodora,432,12,8.5,11,
2,44,E_citriodora,432,13,10.5,11,8
2,44,E_citriodora,432,14,12.5,10.8,
2,44,E_citriodora,432,15,11.6,11.6,
2,44,E_citriodora,432,16,11.9,10.6,
2,44,E_citriodora,432,17,11.4,11,
2,44,E_citriodora,432,18,10.7,10.4,
2,44,E_citriodora,432,19,7.9,6.6,
2,44,E_citriodora,432,20,10.4,10,
2,44,E_citriodora,432,21,8.3,10.2,
2,44,E_citriodora,432,22,7,9.6,
2,44,E_citriodora,432,23,9.9,11,
2,44,E_citriodora,432,24,10.2,12,
2,44,E_citriodora,432,25,12.2,12.6,
2,44,E_citriodora,432,26,10.7,10.6,2
2,44,E_citriodora,432,27,10.6,10.8,2
2,44,E_citriodora,432,28,4,3.4,
2,44,E_citriodora,432,29,13.5,11.6,
2,44,E_citriodora,432,30,9.8,10.8,
2,44,E_citriodora,432,31,13.5,12.6,
2,44,E_citriodora,432,32,9.8,11.6,
2,44,E_citriodora,432,33,12.1,11.6,
2,44,E_citriodora,432,34,13.2,10.4,
2,44,E_citriodora,432,35,,,1
2,44,E_citriodora,432,36,10.9,10.4,
2,44,E_citriodora,432,37,10,8.6,
2,44,E_citriodora,432,38,10.7,10.6,2
2,44,E_citriodora,432,39,9.2,10.4,
2,44,E_citriodora,432,40,8,9,
2,44,E_citriodora,432,41,12.6,11,
2,44,E_citriodora,432,42,10.1,10.8,
2,44,E_citriodora,432,43,11.3,12.6,
2,44,E_citriodora,432,44,10.5,10.6,
2,44,E_citriodora,432,45,10.5,11,8
2,44,E_citriodora,432,46,9.1,8.6,18
2,44,E_citriodora,432,47,12,14.6,
