"","Especie","Idade","Area","DAPmed","DAPsd","Hmed","Hsd","Hdom","G","V","N","Sobre","IMA"
"1",NA,"meses","m^2","cm","cm","m","m","m","m^2/ha","m^3/ha","fustes/ha","%","m^3/ha/ano"
"2","E_citriodora","111","432","16.8","3.7","17.7","5.1","20.2","5","113","1667","38","12"
"3","E_grandis","111","432","18.1","3.6","16.6","3.2","18.9","6","170","1667","44","18"
"4","E_paniculata","111","432","15","2.3","18.9","1.8","18","4","132","1481","52","14"
"5","E_pellita","111","432","17.7","2.2","19.7","1.5","21","5","151","1481","42","16"
"6","E_propinqua","111","432","16.1","3","19.8","3.2","23.5","4","115","1458","38","12"
"7","E_saligna","111","432","16.5","4.1","17.1","1.3","18.1","5","129","1667","40","14"
"8","E_tereticornis","111","432","15.3","2.1","19.4","3.2","18.5","5","146","1667","49","16"
"9","E_urophylla","111","432","17","2.9","19.5","3","21.5","5","148","1481","44","16"
"10","E_urophylla_grandis","111","432","16.1","1.1","23.3","1.8","25.3","4","148","1481","42","16"
